"uuid","name"
"abcef132c8c84aa0bfb9d781b1c5fe98","Open Type Shelving"
"abce898c76664956adc7e06e2448fe98","General Workstation 120 Deg - Cluster of 3  - without Pedestal"
"abceb4df4cd74217b45273ffd177fe98","General Workstation 120 Deg - Cluster of 3 - with fixed Pedestal"
"abcea9717d6a45f2aed28b8d5aaafe98","General Workstation 120 Deg - Cluster of 3  - with fixed Pedestal"
"abcee77642434c6086685ad277d3fe98","General Workstation 120 Deg - Cluster of 9 - with fixed Pedestal"
"abce0550278546b09ef8977f401ffe98","General Workstation 120 Deg - Cluster of 9 - with fixed Pedestal"
"abce64dc83944179ba64e3fa124efe98","WS Cluster of 4 - with 2 pedestal - Cross Shape"
"abce0f2c8ecf4d669bc92b7af9b6fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce63ddc25841baad457396ac01fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce054e9abe4052a19bf7c23945fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abcefac3907740359c7cb376c4fffe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abced40ba6d842f480b697e97203fe98","Long Wooden Table"
"abce13fc132a45f0a0212f729c44fe98","Ceiling Mounted 2.0 H/P"
"abce54e395554a3f93bed7821059fe98","Magnetive White Board 60cm x 90cm"
"abcec58623f14412b7e17877df4cfe98","High Divider Filling Cabinet - L900 x H2100 x W430 - for 5 arch files"
"abcebd807c20468088bd28000d24fe98","High Divider Filling Cabinet - L900 x H2100 x W430 - for 5 arch files"
"abce90ffa38a41faadb97414e07dfe98","High Divider Filling Cabinet - L900 x H2100 x W430 - for 5 arch files"
"abce3145c4d341dd8b863c8de4bcfe98","WS Cluster of 4 come with 2 mobile pedestal - Cross Shape"
"abce6d08d6f144e5bbdd6781e212fe98","High back chair with permanent contact mechanism, armrest,  black plastic base with castor and  gaslift"
"abce21f013e546fc9e9d47c256ebfe98","High back chair with permanent contact mechanism, armrest,  black plastic base with castor and  gaslift"
"abce60399e0944e7b9dcf49e23befe98","York Air Cond 1 H/P"
"abceb518a9ce4420bfa575180595fe98","Magnetive White Board 60cm x 90cm"
"abce025c4e6d48f297ec23b6a0d8fe98","Safety Box"
"abcec70b57e647dcb07e56d840a4fe98","Open Shelves Cabinet"
"abce1729f6d8467eafc6724b77ecfe98","Open Shelves Cabinet"
"abceb94905cc494687e86a740b62fe98","HOD - L1800 x W1800 with fixed sliding cabinet"
"abce510a0b414cb587ec15998fb1fe98","Staff - Free Standing Table L1500 with mobile pedestal"
"abced488711045d58fb2ee7effe4fe98","Staff - Free Standing Table L1500 with mobile pedestal"
"abce67e43c564e92905a384289befe98","Staff - Free Standing Table L1500 with mobile pedestal"
"abceb94d40fa4dc4b95fcdfc4061fe98","High Divider Filling Cabinet - L900 x H2100 x W430 -  for 5 arch files"
"abce393a669842cba1822a3ad04efe98","High Divider Filling Cabinet - L900 x H2100 x W430 -  for 5 arch files"
"abce8c5ee679430c96e389feac17fe98","Dell Vostro 2420"
"abce6a45603c4a3dae871c662492fe98","Dell E177FPb"
"abce3edcaba34f2c8090abfc06b8fe98","Cheetah ID Card Printer"
"abceb551bf3d41f58f9375ec1264fe98","Dell Dimension 3000 Scan PC"
"abcecd21ba7544d68369f5f04c46fe98","Dell E773s monitor"
"abce76135baa4ebeab21f904533cfe98","APC Smart UPS RT5000"
"abce8f25355447e99d42ecf17ebdfe98","HP ProLiant MicroServer"
"abce65c577b74076a9d761c445ebfe98","HP ProLiant MicroServer"
"abce167efd9040c98c1e49825823fe98","HP ProLiant MicroServer"
"abce8b8d169845dc8c6e94d2a464fe98","HP ProLiant MicroServer"
"abce0c005b414d28bc42cce344a6fe98","Compaq V570 monitor"
"abcedade7f3e4626a6a5bbd7c312fe98","Dell Dimension E521"
"abcef93b2bee405c9ea15f145513fe98","Dell Vostro 3450"
"abcec30d1da140bda0b4839b1721fe98","Canon iR3235"
"abce0b7eff4e45e28cfc6d9be140fe98","HP LaserJet P2055dn"
"abcead4bd03f4120908e7942e5f2fe98","HP LaserJet 3015"
"abcebbc0cfb34be19ddf7073be23fe98","Edimax switch"
"abcef0caf8364ae0a3ca0216a907fe98","HIC TCC-2100 binder"
"abce44d3a73d4196bf1e2ff28526fe98","Sliding Door Cabinet"
"abcecd2de1c94638899c6fa3b77ffe98","Sliding Door Cabinet"
"abcea24433674db180325f6b6b16fe98","Sliding Door Cabinet"
"abcea1e87f214966bb9a827f5869fe98","Dell Dimension 3100"
"abce603a4c3242bd8d1a6503d1b2fe98","LG Flatron L226WTQS monitor"
"abcec3fcace9492fa38ce56ce8d1fe98","G-Tek AQ101"
"abce9b2920ac40969f33e9ed0b65fe98","Dell E220Wc monitor"
"abceace895504f3794c7e332cc9cfe98","Dell Inspiron 3537"
"abce2fd4dc364d5294ea5d8ff7a5fe98","Dell Dimension E520"
"abcefe5e0b3045bc9e6d1462b0f2fe98","Grandstream GXP280"
"abceab5071164976b876a2f6fd5cfe98","Dell Dimension 3100"
"abce52ed34b74ea0bdcd529789d7fe98","Mobile pedestal"
"abce48fcefc545f6ae903cb77aabfe98","Mobile pedestal"
"abce04c86c13473687ac6aedf2acfe98","Mobile pedestal"
"abce5ce1767b4520aec9a010e40dfe98","High Swing Door Filling Cabinet - L900 x H2100 x W430 for 5 Arch files"
"abce3008f45b4d60966fa58be411fe98","Book Rack"
"abce5c31207e410ba9af13815bf5fe98","Book Rack"
"abcedf2f61ba4f8b98f43d5be680fe98","High back chair with permanent contact mechanism, armrest, black plastic base with  castor and gaslift"
"abce9169658b4d1bb01d049e7b59fe98","High back chair with permanent contact mechanism, armrest, , black plastic base with castor and gaslift"
"abce3cce7cc343a69c92b87577d6fe98","High back chair with permanent contact mechanism, armrest, , black plastic base with castor and gaslift"
"abce9226af2546a3b90ab85a6bb0fe98","High back chair with permanent contact mechanism, armrest, , black plastic base with castor and gaslift"
"abced62287f24e6887cadfeb84c6fe98","Mobile Pedestal"
"abce65e95bd24ee5b295393995bcfe98","Mobile Pedestal"
"abcee0bcdbb941598c8264c068fefe98","Magnetive White Board 60cm x 90cm"
"abce7aa0e9b749f4952077f03bddfe98","York Air Cond 1.5 H/P"
"abce65a2c43044ef94b8f7e895abfe98","HOD - L1800 x W1800 with fixed sliding cabinet"
"abce065117834a4b82368bd6180bfe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce76f8467546658a4038d6d53dfe98","Low back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abcec6a4d8d44e5c92812686ab70fe98","Low back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abced86429994043a218bf133347fe98","York Air Cond 1.5 H/P"
"abce798f090040d09b62e49f79c3fe98","Staff - Free standing Table L1500 with mobile pedestal"
"abcecc179e074b83b1b14a016f78fe98","Staff - Free standing Table L1500 with mobile pedestal"
"abce95a760154d3b8c813417761efe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce0279b2a54a25a3ac66c4feaffe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abceb14edda5414f96c00c1e13e4fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce026a7a594125a19ac088fbebfe98","Sliding Door Cabinet"
"abce8e4a479741aaa463c52dcf1ffe98","York Air Cond 1.5 H/P"
"abce0ae7c6ec4f99a650904eb196fe98","Magnetive White Board 60cm x 90cm"
"abce2af3d5924726bbf4c8058b95fe98","Glass Writing Board"
"abce70cdbfc24229bd08524a46f3fe98","High Back chair"
"abce48216c8041eabe09771889b9fe98","High Back Chair"
"abceb4704ee743e3bab6b7485cf5fe98","York Air Cond 1.5 H/P"
"abcefc388ae84e82b0c7ed9ea035fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abcefdf934084c1da2ba26b415d2fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce0d0d744c40818a876d24a6c3fe98","Sliding Door Cabinet"
"abcef52b27f84f2698efecb0070afe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abced354b0054fe78119d706ecd5fe98","HP LaserJet P1505"
"abcec32741cc4408995ba7ae8ad8fe98","High Back Chair"
"abceb3473a524ce2a14a4cdf28dafe98","CEO Workstation"
"abce5954347a48cc9b26cca2ba4ffe98","Highback Chair with Synchro Mechanism, Amrest,Polished Aluminium base with Castor & Gaslift"
"abcef37cd32747b4adde9866ff07fe98","Yealink SIP-T20"
"abce9c38994e4e0a85320087aeabfe98","ZD1006 router for Wifi system"
"abce629d4fbd4ed08981915f0f50fe98","Coffee Table"
"abceef32467b4e51b70d423a9e2cfe98","1&2 Seater Corbusier Chair"
"abce1ef65fea41179174636841ecfe98","1&2 Seater Corbusier Chair"
"abce7a27ec1b43ca84b749b1673bfe98","HP Color LaserJet 2550L"
"abcef31a2c664edabdd7e4dfcc9dfe98","York Air Cond 2 H/P"
"abcecb87745b4d24bcf120c77537fe98","G-Tek AQ101"
"abcedcccdb134db18d6014c4a262fe98","Fujitsu Lifebook S7211"
"abce3bf8df4742dd9f9278f4716efe98","Dell Latitude 3440"
"abcef9ad28404cf1a7356b0c9476fe98","HP LaserJet P1505 - spare"
"abce58defcac44349c706fcf970cfe98","Lenovo 7360 PN3"
"abce87027ded4e379db52826fea7fe98","Dell monitor"
"abce7ca82ebb42748a2cd8cf9830fe98","Dell SE177FPf monitor"
"abceb0f958294577b83df4671385fe98","HP LaserJet Pro M706n"
"abce345ed2884ae6926fe145f82ffe98","Low Swing Door Filling Cabinet"
"abce3f0d21054f69826e5ba9a204fe98","Cabinet"
"abce8ed62efe45ac8e3ca6545ebafe98","Sharp Refrigerator"
"abcec06de0954314b4c0c8fa0485fe98","HP Compaq dc5700 Microtower"
"abce6235d43846ec9f3fc245417bfe98","Stainless Steel Trolley"
"abce740aca854ee3bef3f87b0e44fe98","Wooden Trolley"
"abcea8b285d94f50a70136c22b9afe98","Sun monitor"
"abce22a9826244d69ecf6ded2b79fe98","Black Chair"
"abce4757e556438ea01aa5ba54e9fe98","Black Chair"
"abcede9a002344d3bac2554c7a73fe98","Black Chair"
"abce80014fed499fbd6e62a16692fe98","Dell Vostro 3450"
"abce49962f7b469fa10b77daed73fe98","Alicafe Machine"
"abcecc15a04a4996b24714546e8cfe98","Sanyo microwave"
"abce6b8a14844b25a83881c9dc42fe98","General Workstation 120 Deg - Cluster of 3  - without Pedestal"
"abce6949a0dd4400a8d1bb05599efe98","E-Spring Water Dispenser"
"abce78da347f4271996d8bf5739bfe98","General Workstation 120 Deg - Cluster of 3  - without Pedestal"
"abce8e89889b4a3a90884bf8d179fe98","Mobile Pedestal"
"abce376474364eadb2f4150b6ee1fe98","G-Tek AQ101"
"abce8fec4300440891bcffb5aa98fe98","General Workstation 120 Deg - Cluster of 3  - without Pedestal"
"abce2ad5dea64d44962aa7fde02bfe98","Yealink SIP-T20P"
"abce0b137e0e49bdb9466e74e127fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abceced552bd434d9985d4603d75fe98","Aluminium Coffee Table"
"abce3b8c036b4d42ae42d3f811abfe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abcede91b0c34796b355ca834fc3fe98","Aluminium Coffee Table c/w aluminium chair"
"abce641b809f4c43a8da03416b0dfe98","Aluminium Coffee Table c/w aluminium chair"
"abcee58cff424962bd56a00bc937fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce8f49e99749c38e0bb36a6f65fe98","Dell Latitude E6320"
"abce554968814892b3bf33930bacfe98","Lenovo"
"abce80be95144294ab50601f9e0ffe98","Dell monitor"
"abceabce73504d23bf41e2834640fe98","Aluminium Chair"
"abceac2c614c45d69db91998e183fe98","Aluminium Chair"
"abce07d2f3424ca18d8221c351edfe98","Aluminium Chair"
"abcefd479cce432f8e45c1182b2cfe98","Aluminium Chair"
"abce0de681104704bb9bc2fcb190fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abced6f61227468ab47e7afed070fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce833eb8b94203b5257fed5acafe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce629565404b648b497433883dfe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abcea04f915549b09d5443844932fe98","Dell monitor"
"abcea6dca8ac49fe9327265b9743fe98","Dell Dimension 3100"
"abce239c1aa04e7b899b8975283cfe98","Dell Dimension 3100"
"abce3ca3b8c6453f85ca8d3d5779fe98","MFC Low Swing Door Cabinet H900 x L900 x W450"
"abcea86333834c6b8b1f7e1323a4fe98","MFC Low Swing Door Cabinet H900 x L900 x W450"
"abced37c414b42738ad3805e2da5fe98","MFC Low Swing Door Cabinet H900 x L900 x W450"
"abce05f91f07458c96e8ba93120bfe98","MFC Low Swing Door Cabinet H900 x L900 x W450"
"abce6473d2ab473ea02a65521badfe98","MFC Low Swing Door Cabinet H900 x L900 x W450"
"abcea466f20149dca6667094abc9fe98","Open Shelf Cabinet"
"abceaec1ebb843c39d0e7fd603a6fe98","Open Shelf Cabinet"
"abced63d965546d9894281933887fe98","MFC High Cabinet H2100 x L900 x W450"
"abce81d27de04f51bff752308c22fe98","Magnetive White Board 60cm x 90cm"
"abce4fcd1b8b4c6781296081b01dfe98","Mobile Pedestal"
"abce2a49b5d0418780fa7c5de375fe98","Dell E177FPb monitor"
"abcea6ab2a0044d3882df15f7704fe98","Dell Dimension 3100"
"abce6284cf3e40d3b0f69401469cfe98","Dell E2209Wc monitor"
"abce3282a37e47af9d9fc83f1ffcfe98","Dell Dimension 3100"
"abce29f2a66b4c27a1fa718d4c56fe98","Dell SE197FPf monitor"
"abcefee4bda84a5989c4c366c8f6fe98","Dell Latitude 3440"
"abcec416015441af8d22c889e27cfe98","HP Color LaserJet 2600n"
"abce9928e8d942edb4afe4a0cc90fe98","Staff - Free standing table L1500 with mobile pedestal"
"abcec4ffc30443b19129bfd055e2fe98","Staff - Free standing table L1500 with mobile pedestal"
"abce1aaf8b5346179e7bac84e40cfe98","Staff - L1500 with mobile pedestal/Panel height H1250 x L2100"
"abce1f2e3ee94bfdb2a29ff03302fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abcec6ed6a814bbebfdbea90f53cfe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abcecd7d497f419b9f23c2ee559bfe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce5c1bdf8341a99b33dc99415efe98","Round Meeting Table D1500"
"abceeaf2cba244eeb51edd081181fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce7fb44de44ebebd25bf5f9a74fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abcef1ff5ec745e682c0e05ffa73fe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce198a61a64eaeab1a2dd5d64ffe98","Glass Writing Board"
"abce3ad3de164831ad4a0fff8d18fe98","York Air Cond 1.5 H/P"
"abce31a008c64049b40ad0d7ffcbfe98","Receptionist table"
"abcefa21d73c4fecb80ceb340efafe98","Sofa Set c/w Coffee Table"
"abce7bbc94534842bdf494c0d77cfe98","High back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abceda0e45094051ae33dca05e12fe98","Dell E177FPb monitor"
"abce681c89d84b6c886e6cd222f6fe98","Glass Writing Board"
"abce87cef6cd456b84239f5a014bfe98","Electronic White Board"
"abce7e68b49044ee9784a210b8bbfe98","Flip Chart Board with Stand"
"abcebceba2e74ab795ec71f50e8cfe98","High Bar Chair"
"abce0fa587314c4ebd794759a10efe98","High Bar Chair"
"abce75903b264f9097bf82831174fe98","Standing Whiteboard"
"abce2de24dea42db864f1cc80e64fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce5e7616cb4c4b929e63102b8bfe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abceafcf94994922b740232e3617fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce8723d3824824b3c0da77be54fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abcef792f4ee411aa2bc01e57580fe98","Turin table"
"abce7f2560694572b95a81b4d5a2fe98","Turin table"
"abcef5a74e29469cb94b157902bbfe98","Turin table"
"abce828739c842648be94acd1a85fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce7aee69024b6c935b837a4238fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce4e055afe46739b7c36eae94afe98","Turin table"
"abcea5b9990640b8af0360c7ede5fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce3a68180747e4b02069757aeefe98","Turin table"
"abceb861df1349d8ab8060bb0ce3fe98","Turin table"
"abceb496996e41b6b527a93bf48bfe98","Turin table"
"abce78ad7e654e55a4b806760e6efe98","Turin table"
"abce9f3485c94f60af3dbb4657e8fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce073d0ad84747a4edcb7f84a9fe98","HP ProLiant MicroServer"
"abce31eb12634447b96b4c32d6c0fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce5990d0ac439d90f8f7046a9dfe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce59ace7d341e3b8ae80d1c6e6fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abcea8ef6e9b4f709ecb650eecbffe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce5c11003b4368842a0a7ea6fafe98","Serverware SG19R-X10DR 1U"
"abce2959cb6148a08c4a756ac233fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abcef17e900e498693441124a1b6fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce76e7d0cd4bab84d1a0702e3afe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce13e80ee24aa6ae3d467b6569fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abceefbcc7444a1abc5e92f47d78fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abce66252600477eba67146d0a28fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abcea12a1c1f49a3bf23f527de41fe98","Highback Chair with Synchro Mechanism, Armrest, Polished Aluminium base with Castor & Gaslift"
"abcebcbe81d3411fb1c5b557ff4dfe98","Low back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce8e9c3c544337a3d50d367218fe98","Low back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce380a37354561910c6c008aaffe98","NEC NP200G DLP Projector"
"abcefca136f24c0b907346faec6afe98","York Ceiling Mounted Air Cond 3 H/P"
"abcec3f3b02240c9be180f5e6e8bfe98","Polycom SoundStation 2Ex"
"abceae4e375c4677a44e5e800173fe98","Boltless Rack"
"abcea22b5bcb4df29eaae79a59b9fe98","HP Proliant MicroServer"
"abceed2064774820a499c1b36a19fe98","HP Proliant MicroServer"
"abce75dca92e4672b710d9740945fe98","HP ProLiant MicroServer"
"abce378523bc4431886b4fb8788ffe98","HP ProLiant MicroServer"
"abce59f2213544aebe6702fa554cfe98","HP ProLiant MicroServer"
"abceeb87bb5946c49b5e0c7e484dfe98","HP ProLiant MicroServer"
"abce5df317bf4757bd23925b8d62fe98","Dell Dimension 3000"
"abce82fb577245838ad7382f4abbfe98","Symantec VelociRaptor 1100"
"abceef2a3c0a46deb3acfd384926fe98","Sun StoreEdge A1000"
"abce66adea5a4e6fa9dc6826fc2cfe98","Bluedot Avillion 2200"
"abce7d5864744488b74a2e941763fe98","LG desktop"
"abce5856bc1e4e8fa8bd3aa0156cfe98","Cisco 1800 Series"
"abce0665a4ad4eaa84e46419accdfe98","Cisco Catalyst 2950 series"
"abcee9e3770649d8880d4bc93c29fe98","Cisco Catalyst 2950 series"
"abceade7a93e4fedbf10faded5b2fe98","jejejs"
"abce6a207c25451caba5df98be21fe98","Dell E2011Ht monitor"
"abcea1a8608048d687dcf3bc3d38fe98","LG Studioworks C15LA-0 monitor"
"abce99f4084a40f7a8a1891cd959fe98","Dell E773s monitor - Spare"
"abce42d3ae744732bec45c9a1578fe98","Dell E551 monitor - Spare"
"abce5978091a4f58a7fbb22fbf98fe98","Dell E2209Wc monitor - Spare"
"abce6e6309244e669e9bfd8ca21afe98","Dell E2209Wc monitor - Spare"
"abce29fee9a9418db1f9989fd86bfe98","Qnap TS-259 Pro"
"abce76f90d7a43919391f209a5abfe98","Dell E197FPf monitor"
"abce8f06424a4d35861160396a79fe98","Dell monitor"
"abcea2c4d2dc468eadc124014217fe98","LG Studioworks 505G monitor"
"abce2276b3d14cfc8eb1ce9234f4fe98","Cooler Master"
"abce024b447443ecbe9fb93d852bfe98","Dell Dimension 3100"
"abce14143b29400c873f89e1147dfe98","Dell Dimension 3100 - spare"
"abcee27967b94ed598418bd51b38fe98","Dell Dimension 3100 - spare"
"abceb7472d7d41b5a657146d179cfe98","Dell Dimension 2350 - spare"
"abceff328fc349b1a778bcbb4384fe98","Dell Dimension 3100 - spare"
"abceecb238d943d3af5ed71558b3fe98","Compaq"
"abce1f0dab014efaad7d4aa88292fe98","Bluedot Avillion 2200"
"abcea192a71f415abfccf34654fdfe98","HP LaserJet P1505"
"abce37ae54b8453398530030a33ffe98","G-Tek AQ101"
"abceaf05a29b4ea780c313d1c61bfe98","G-Tek AQ101"
"abcefcdd6db1447da384a552ee1bfe98","G-Tek AQ101"
"abce7e74ee7e4f4b8123d2c7a89dfe98","G-Tek AQ101"
"abce0a8ee1f24255a53f81048374fe98","G-Tek AQ101"
"abce1961e1114a5ba864af2cfd05fe98","G-Tek AQ101"
"abce6e04fdc743779d0b3996ad63fe98","G-Tek AQ101"
"abcec9865fe949d78f601e6ed4c0fe98","Dell E1709Wc monitor"
"abceccfc192843619428776f3ebefe98","Dell E177FPc monitor"
"abcedcdae55049b0a4760f47c343fe98","Dell Latitude E5400 - spare"
"abce8c6c773e4e859696aafd3780fe98","Dell Vostro 1310 - spare"
"abced4e3bd8c48188207d9da0df2fe98","Dell Vostro 3460 - spare"
"abce6a48addc443f861f7300a8d1fe98","Lenovo 3000 N100 - spare"
"abce95255d7c424c8bd3b6bdbee2fe98","Dell Latitude 3440"
"abce0ba600564b61b95185577c76fe98","Dell Vostro 2420"
"abceb2c6a4604a45b5566ec997a1fe98","Dell monitor - spare"
"abce5bbe9d1246b3812dfbcb1a7ffe98","Dell Vostro 2420"
"abce7c9f6e8d4ae1bdf52fd68d64fe98","Fujitsu Lifebook S7211 - spare"
"abcef1972acb4991be35cd18fe64fe98","Fujitsu Lifebook S7211"
"abce3ff763fe4e0cbcc760c78daffe98","IBM ThinkPad R60"
"abcedc38f93e46e481b04c66979dfe98","Fujitsu Lifebook A3110"
"abce5dfc0d504952a17434917c32fe98","Fujitsu Lifebook S2110"
"abce91c439b44c288f7d3ca42e7ffe98","Dell Vostro 1520 - spare"
"abce9ce1bbf646f194d7812d2a95fe98","Dell XPS M1330"
"abcecd202e854e739d5b0dbf0438fe98","Sony Vaio S series VPCSA26GG - spare"
"abce2c2be4e34027b8656578f866fe98","ZD1006 router for Wifi system"
"abce4e7f23734a9bab233e406ba8fe98","ZD1006 router for Wifi system"
"abcefa05442a4c068f036ce589aefe98","E/LIB-Smart Intelligent Panel"
"abce1c17af1c4baebc365afc4942fe98","Turin table"
"abce4eef7acc46ecb52df6e8763cfe98","Boltless Rack"
"abce67ed746b477eb06587bd1677fe98","Boltless Rack"
"abceecbcb7174cf49f89a136fb05fe98","Boltless Rack"
"abce9da8daaa4b73a9be08be4e12fe98","Boltless Rack"
"abceab39d7dd487c8aa8c0ce8db8fe98","Boltless Rack"
"abcee3b8e3ca4b4eabadaa50b1b8fe98","Boltless Rack"
"abce85fa25154f9c8a3ad9d9e2e7fe98","Boltless Rack"
"abceff9120524a96bacad837e07dfe98","Boltless Rack"
"abcebb516be24748bc8b62ec0f23fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce62cde98647edaf3c9ac1e0b9fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abcece8c823b44758df18dd7bb90fe98","High back chair with permanent contact mechanism, armrest, black plastic base with castor and gaslift"
"abce45464e014ea6b2e9e4f7c922fe98","Low back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce17579f5b45a7b86626bbe7e6fe98","Low back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce8e70105a4d478632ab608107fe98","Low back chair with permanent contact mechanism, armrest,black plastic base with castor and gaslift"
"abce19e29b8c48aa9583a2b574e8fe98","Mobile Pedestal"
"abce922ab7a14d8cb08011e61b45fe98","Filing Cabinet 4 Drawer"
"abce79a2282245d0b4021d2d9787fe98","Filling Cabinet 4 drawer"
